series_id,year,value
PRS88003142,2021,27.0
PRS88003143,2024,495.451
PRS88003151,2020,26.0
PRS88003152,2020,34.599999999999994
PRS88003153,2021,440.025
PRS88003161,2010,21.9
PRS88003162,2020,24.0
PRS88003163,2024,456.921
PRS88003171,2020,12.2
PRS88003172,2020,11.500000000000002
PRS88003173,2001,446.9
PRS88003181,2021,170.5
PRS88003182,2020,286.90000000000003
PRS88003183,2024,851.364
PRS88003191,2010,122.89999999999999
PRS88003192,2002,259.9
PRS88003193,2024,688.655
PRS88003201,2022,29.8
PRS88003202,2022,21.3
PRS88003203,2024,466.755
